Item Name,Notes,Quantity,Price Per Unit (USD),Total Cost (USD),Link
0.91" OLED Display,"128x32 I2C OLED, GND-VCC-SCL-SDA",1,1.09,1.09,https://www.aliexpress.us/item/2251832650376908.html
EC11 Rotary Encoder,"ALPS EC11E compatible, vertical, H20mm",1,0.46,0.46,https://www.alibaba.com/product-detail/EC11-rotary-15-20mm-Meihua-Bing_1600985459709.html
Key Switches,"MX compatible switches, pack of 10",7,1.00,7.00,https://www.aliexpress.us/item/3256802192387196.html
SK6812MINI-E,"Addressable RGB LED, LCSC C5149201",61,0.0649,3.96,https://www.lcsc.com/product-detail/C5149201.html
1N4148 Diodes,"1N4148, pack of 100",1,0.99,0.99,https://www.aliexpress.com/w/wholesale-diode-1n4148.html
Durock V2 Screw-In Stabilizers,"5 stabilizers",1,16.00,16.00,https://upgradekeyboards.com/products/durock-v2-new-screw-in-stabilizers-clear
Custom PCB,"JLCPCB manufactured PCB",1,24.00,24.00,https://jlcpcb.com/
Thock King Shine Through Black PBT Keycap Set,"Black pudding PBT, 61-key, RGB shine-through",1,16.95,16.95,https://www.thockking.com/products/shine-through-black-pbt-keycap-set-61-78-87-96-100-104-108
Raspberry Pi Pico,"RP2040 microcontroller",1,4.00,4.00,https://www.raspberrypi.com/products/raspberry-pi-pico/
TOTAL,,,,"74.45",
